,0.0,3.0,9.0,11.0,12.0,15.0,21.0,23.0,24.0,25.0,29.0,30.0,31.0,33.0,39.0,40.0,41.0,49.0,50.0,255.0
0.0,99042932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,292440009
1.0,0,397121,12846,386079,2489282,95,33389,1641,512,8911,19783,0,0,40628,9739,5092,2914,49711,67215,690
2.0,0,11816603,814950,2271101,17429557,16422,867829,83339,42649,226362,156022,1109,0,853746,980790,141984,62668,436980,714203,89495
3.0,0,347343,54639,94466,954335,1784,128557,114,2527,8850,5067,8110,0,45079,111117,22889,11553,19406,11114,2210
5.0,0,2255892,7128947,30877,1243334,3494,117580,20392,3452,60024,1604,5025,0,18396,114695,4449,8079,106707,87232,26203
6.0,0,57017,1111,5014,503860,0,5847,0,0,2921,1859,0,0,1091,4078,370,304,0,0,0
7.0,0,3635903,114050,79615,16525140,44,260810,248,943,51510,44410,1823,0,66599,416506,7252,24140,312,0,2544
8.0,0,153483,9889,8760,782522,10,31506,171,71,10598,146,42,0,9716,44844,573,3951,13,0,222
9.0,0,3655986,460566,585268,35928287,114536,2889428,15798,65060,497507,82942,4281,0,325793,3420466,176132,656813,153103,432109,14653
11.0,0,2651,0,1031,8353,0,3083,0,0,0,0,0,0,342,145,92,129,0,0,0
12.0,0,17282,0,126,104831,0,555,0,0,70,764,0,0,382,2040,330,37,0,0,90
13.0,0,127,0,0,3782,0,0,0,0,0,33,0,0,4,0,0,0,0,0,0
14.0,0,3911967,357299,391508,11825737,15715,3804064,7521,19656,278608,5857,85,0,391839,45774832,10411343,1038035,119212,64709,7526
15.0,0,17219,2588,241,59239,166,9059,0,0,484,0,0,0,497,3542,11,169,138,0,103
17.0,0,74534,4980,117418,66409,1498,82239,22684,2316,21594,70,0,0,20189338,47017,23277,7665,9019,10292,62588
18.0,0,10834,1412,48169,138432,13,88602,458,102,9937,324,3294,179,1521810,58427,5900,5460,460,846,22
19.0,0,100183,6091,12834,308500,2235,49376,12435,1445869,63465,30,1598,1,9839,13034,1832,1253,10576,7291,6372
20.0,0,43,1108,5302,15379,124,2258,166080,15,22058,0,0,0,8881,172,127,67,200,37699,7016
21.0,0,411,19304,20942,26951,5,9314,941479,10221,235656,0,0,0,41442,281,1700,55,10687,245434,78505
23.0,0,903,0,0,1571,0,135,0,0,427,578,0,0,12,0,0,0,0,0,0
24.0,0,4149,2445,93,7698,5,2249,58,829,12906,57,29019,0,1490,624,65,464,13,6,38
25.0,0,2163,818,727,10816,0,2894,29162,1609,41584,31,180,0,346,1026,39,47,324,821,0
